email_id,email
1,My invoice shows the wrong amount this month. I was charged $250 but should be $200.
2,The app crashes every time I try to upload a file. Very frustrating!
3,Can you add a dark mode feature? The current white background hurts my eyes.
4,I need a refund for my last order. The product arrived damaged.
5,Thanks for the great service! Love using your platform.
6,Our entire team cannot access the dashboard since this morning. We have a client presentation in 2 hours!
7,The billing page shows my account as inactive but I just paid yesterday.
8,How do I export my data to Excel? Cannot find the option anywhere.
9,The API returns a 500 error when I try to create a new project.
10,I have been waiting 3 days for a response to my support ticket. This is unacceptable!
11,The mobile app sync is broken. My changes don't appear on other devices.
12,Can you explain the new pricing structure? It seems more expensive.
13,Found a bug: the date filter doesn't work on the reports page.
14,I want to upgrade to the enterprise plan. Who do I contact?
15,The email notifications are delayed by about 2 hours.
